xpath,endpoint_type,schema_defined_type,container,endpoint
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SERVICES,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORD_SET_DELIVERIES/SUPPORTING_RECORD_SET_DELIVERY/SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORDS/SUPPORTING_RECORD/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/DATA_MODIFICATION/DATA_MODIFICATION_REQUEST/DEAL_SET/DEALS/DEAL/SERVICES/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SERVICES,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/DATA_MODIFICATION/DATA_MODIFICATION_REQUEST/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORD_SET_DELIVERIES/SUPPORTING_RECORD_SET_DELIVERY/SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/DATA_MODIFICATION/DATA_MODIFICATION_REQUEST/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORDS/SUPPORTING_RECORD/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/SERVICING_TRANSFER/SERVICING_TRANSFER_REQUEST/DEAL_SET/DEALS/DEAL/SERVICES/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SERVICES,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/SERVICING_TRANSFER/SERVICING_TRANSFER_REQUEST/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORD_SET_DELIVERIES/SUPPORTING_RECORD_SET_DELIVERY/SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/SERVICING_TRANSFER/SERVICING_TRANSFER_REQUEST/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORDS/SUPPORTING_RECORD/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_REQUEST/DEAL_SET/DEALS/DEAL/SERVICES/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SERVICES,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_REQUEST/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORD_SET_DELIVERIES/SUPPORTING_RECORD_SET_DELIVERY/SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_REQUEST/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORDS/SUPPORTING_RECORD/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_RESPONSE/DEAL_SET/DEALS/DEAL/SERVICES/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SERVICES,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_RESPONSE/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORD_SET_DELIVERIES/SUPPORTING_RECORD_SET_DELIVERY/SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD_SET_DELIVERY_EVIDENCE,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_RESPONSE/DEAL_SET/DEALS/DEAL/SUPPORTING_RECORD_SETS/SUPPORTING_RECORD_SET/SUPPORTING_RECORDS/SUPPORTING_RECORD/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,SUPPORTING_RECORD,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,DOCUMENT_SET,FOREIGN_OBJECTS
/MESSAGE/DOCUMENT_SETS/FOREIGN_OBJECTS,Container,FOREIGN_OBJECTS,DOCUMENT_SETS,FOREIGN_OBJECTS
